archivo,caracteres,lineas_no_vacias,notacion_detectada,hits_evidencia_en,hits_evidencia_solfa,lineas_acorde_detectadas,tiene_acordes,tiene_caracter_reemplazo,tiene_tabs,titulo_sospechoso,muy_corta
174_🇵🇪 LAS TORRES.txt,1529,17,ninguna,0,0,0,False,False,False,False,False
175_🇦🇷 LUNES POR LA MADRUGADA.txt,730,30,ninguna,0,0,0,False,False,False,False,False
176_🇺🇸 ARE YOU GONNA GO MY WAY.txt,1024,41,ninguna,0,0,0,False,False,False,False,False
177_🇦🇷 PARA NO VERTE MÁS.txt,2042,112,ninguna,0,0,0,False,False,False,False,False
178_🇵🇪 LOS GLOBOS DEL CIELO.txt,2199,45,ninguna,0,0,0,False,True,True,False,False
179_🇵🇪 MIX CUMBIAS.txt,10376,306,ninguna,0,0,0,False,True,True,False,False
180_🇵🇪 MIX CUMBIAS.txt,10376,306,ninguna,0,0,0,False,True,True,False,False
181_🇵🇪 Cum. ERES MENTIROSA.txt,462,24,ninguna,0,0,0,False,False,True,False,False
182_🇬🇧 HOW DEEP IS YOUR LOVE.txt,1661,58,ninguna,0,0,0,False,False,False,False,False
183_🇵🇪 Cum. COLEGIALA.txt,2546,54,ninguna,0,0,0,False,True,False,False,False
184_🇲🇽 AHORA TE PUEDES MARCHAR.txt,2283,70,ninguna,0,0,0,False,True,True,False,False
185_🇬🇧 CRAZY LLITLE THING.txt,2602,86,ninguna,0,0,0,False,False,True,False,False
186_🇪🇸 VENECIA.txt,3615,112,ninguna,0,0,0,False,False,True,False,False
187_🇵🇪 UN DíA SIN SEXO.txt,2753,60,ninguna,0,0,0,False,True,True,False,False
188_🇺🇸 WE BELONG TOGETHER.txt,1120,50,ninguna,0,0,0,False,False,True,False,False
189_🇺🇸	COMO YO NADIE TE HA AMADO.txt,3551,130,ninguna,0,0,0,False,False,True,False,False
190_🇦🇷 LA GUITARRA.txt,3270,92,ninguna,0,0,0,False,False,False,False,False
191_🇬🇧 ANOTHER ONE BITES THE DUST.txt,1260,22,ninguna,0,0,0,False,False,False,False,False
192_🌎HAPY BIRTHDAY - CUMPLEAÑOS.txt,269,9,ninguna,0,0,0,False,False,False,False,False
193_🇨🇱SEXO.txt,2144,53,ninguna,0,0,0,False,False,True,False,False
194_🇺🇸 LIVING ON A PRAYER.txt,2394,83,ninguna,0,0,0,False,False,False,False,False
195_🇺🇸 HIGHER GROUND.txt,1334,35,ninguna,0,0,0,False,False,False,False,False
196_🇨🇴  TACONES ROJOS.txt,1389,62,ninguna,0,0,0,False,False,False,False,False
197_🇺🇸 DANI CALIFORNIA.txt,3051,100,ninguna,0,0,0,False,False,True,False,False
198_🇵🇪 QUÉ DIFICIL ES AMAR.txt,3322,95,ninguna,0,0,0,False,False,False,False,False
199_🇵🇪 TRICICLO PERÚ.txt,2277,60,ninguna,0,0,0,False,True,True,False,False
200_🇬🇧 EVERY BREATH YOU TAKE.txt,2181,74,ninguna,0,0,0,False,False,False,False,False
201_🇺🇸RAIN.txt,1118,16,ninguna,0,0,0,False,True,False,False,False
202_🇬🇧 DONT LET ME DOWN.txt,1895,51,ninguna,0,0,0,False,False,True,False,False
203_🇺🇸TALKING IN YOUR SLEEP.txt,2939,81,ninguna,0,0,0,False,False,False,False,False
204_🇲🇽 CORAZÓN ESPINADO.txt,2214,83,ninguna,0,0,0,False,False,False,False,False
205_🇺🇸 COME OUT AND PLAY.txt,2093,72,ninguna,0,0,0,False,False,False,False,False
206_🇺🇸GIVE IT AWAY.txt,2290,57,ninguna,0,0,0,False,False,False,False,False
207_🇺🇸 AROUND THE WORLD.txt,1549,68,ninguna,0,0,0,False,False,False,False,False
208_🇺🇸 JAILHOUSE ROCK.txt,2571,82,ninguna,0,0,0,False,False,True,False,False
209_🇺🇸 LA BAMBA.txt,1813,88,ninguna,0,0,0,False,False,True,False,False
210_🇪🇸 ENTRE DOS TIERRAS.txt,2708,84,ninguna,0,0,0,False,False,True,False,False
211_🇺🇸PLUSH.txt,1408,57,ninguna,0,0,0,False,False,False,False,False
212_🇦🇷 DEMOLIENDO HOTELES.txt,1337,44,ninguna,0,0,0,False,False,True,False,False
213_🇪🇸 DEVUÉLVEME A MI CHICA.txt,2143,61,ninguna,0,0,0,False,False,True,False,False
214_🇺🇸 HOLD THE LINE.txt,3554,77,ninguna,0,0,0,False,False,True,False,False
215_A-04🇨🇴 MIX - OJOS MARRONES & TACONES ROJOS.txt,2650,122,ninguna,0,0,0,False,False,False,False,False
216_12.BABY I LOVE YOUR WAY.txt,2952,72,ninguna,0,0,0,False,True,False,False,False
217_11.LOSING MY RELIGIÓN.txt,2940,114,ninguna,0,0,0,False,False,False,False,False
